ID,ID_numeric,Date_measured,Color,Color_numeric,Cyme_length,flowers_per_day,Flowers_buds_on_cymepeduncle, Cor_Length,Cor_tissue_Length, Cor_Width,Anther_stigma_position, Nectar_volume_mm, Style_Length,Sterility,after_noon,Notes
101,101,11/6/2014,p,1,24.1,1,2,23.8,29.2,20.2,0,0,14.8,,,
105,105,9/17/2014,p,1,39.5,1,2,28.8,32.6,23.2,0,0,17.5,,,
105,105,9/18/2014,p,1,39.6,1,2,26.2,30.8,22.2,0,1.4,17,,,
105,105,10/19/2014,p,1,32,1,2,32.1,37.4,26.7,0,1,18.3,,,
105,105,10/31/2014,p,1,35.1,1,1,31.1,36.9,25.2,0,3.2,17.7,,,
106,106,7/10/2014,p,1,24,1,2,29,,20,-0.5,0,15,,,
106,106,7/20/2014,p,1,20,1,1,26,29,15,0,3,16,,,super dark
106,106,7/28/2014,p,1,17.6,2,1,27.4,28.6,16.5,0,0.6,14.7,,,
106,106,8/2/2014,p,1,30.2,1,2,28.6,31.7,19.2,0,0,16,,,selffertile
106,106,8/3/2014,p,1,33.8,1,2,27.8,31.5,19.9,0,0,15.6,,,
106,106,8/19/2014,p,1,19.3,1,2,27.3,33,21.6,0,0.9,16.2,,,
107,107,12/3/2014,w,0,18.6,1,1,26.8,30.1,20.5,0,0,15.3,,,
109,109,9/30/2014,p,1,21,1,1,25.8,29.6,21.8,0,2.2,15.6,,,
110,110,11/28/2014,p,1,12.1,1,1,21.9,26.3,20.4,0,0,14.2,1,,sfs?
112,112,9/12/2014,p,1,17.5,1,1,29.5,34.5,23.8,0,0,17.4,,,w. tgroat?
114,114,8/15/2014,p,1,22.6,1,1,23.6,27,18.2,0,0,15.8,,,
115,115,10/1/2014,p,1,30.4,1,2,27.2,30.7,22.3,0,4.9,16.9,,,
115,115,10/17/2014,p,1,16.9,1,1,27.8,32.1,23.1,0,0.4,17.1,,,
115,115,10/27/2014,p,1,20.2,1,2,26.5,30.3,21.1,0,0,16.2,,,
115,115,11/16/2014,p,1,33.6,1,3,26.5,30.3,21.8,0,0.6,15.4,,,
115,115,11/17/2014,p,1,14.9,1,1,25.9,30,21.1,0,0,16,,,stripy
116,116,2/4/2015,p,1,17.45,1,1,29.9,33.9,19.2,0,1.3,16.5,,,
116,116,3/4/2015,p,1,12.9,1,1,28.7,32.5,21.2,0,2.1,16.5,,,
117,117,8/3/2014,p,1,15.9,1,1,28.8,31.9,20.4,0,0,17,,,
118,118,11/14/2014,p,1,19.5,1,1,24.9,28.4,18.4,0,0,13.9,,,
119,119,8/18/2014,w,0,25.2,1,2,28,30.7,21.4,0,2.8,15.2,,,
119,119,9/7/2014,w,0,24.7,1,1,28.9,31.5,19.9,0,0,15.9,,,
119,119,11/16/2014,w,0,24.4,1,2,26,30,20.5,0,1.1,14.6,,,
119,119,11/25/2014,w,0,22.5,1,1,26.2,30.9,21.5,0,2.8,14.5,,,
120,120,11/7/2014,p,1,31.6,1,1,30,34.4,22.8,0,6.7,19,,,
120,120,11/16/2014,p,1,20.9,1,1,26.2,30.6,21.9,0,3.1,17.4,,,
120,120,11/19/2014,p,1,19.9,1,1,26.4,31.4,21.8,0,3.6,18.2,,,
121,121,7/20/2014,p,1,18,1,1,24,26,18,0,0,14,,,squished
121,121,7/21/2014,p,1,23,1,1,26,28,16,0,0.5,14,,,slightly squishe
121,121,7/22/2014,p,1,18,1,1,24,26,16,0,0.5,14,,,
121,121,8/1/2014,p,1,24.3,1,2,26.7,29.7,19.1,0,2.6,16.2,,,
121,121,9/17/2014,p,1,15.1,1,1,25.1,28.8,20.6,0,0,15.2,,,
121,121,11/17/2014,p,1,40.8,1,2,23.7,27.8,19.3,0,0,13.6,,,
122,122,9/1/2014,w,0,24,1,1,29.1,34.9,23.8,0,0,17.9,,,
122,122,9/3/2014,w,0,25.1,1,1,26.5,31.3,23.4,0,1.8,17,,,
122,122,10/31/2014,w,0,29.2,1,1,30.4,35,23.8,0,0.8,17.8,,,
122,122,11/18/2014,w,0,25.4,1,1,25.7,29.2,16.7,0,0.4,15.9,,,
123,123,7/24/2014,p,1,26,1,1,24,29,17,0,1,16,,1,
123,123,10/31/2014,p,1,21.6,1,1,27.9,32.2,22.9,0,4.2,17.2,,,
124,124,11/17/2014,p,1,16.9,1,1,27,30.7,19.2,0,1.2,16.9,,,
125,125,8/1/2014,p,1,17,1,2,26.2,29.9,20.4,0,0.8,17,,,
126,126,8/1/2014,p,1,36.6,1,2,25.9,28.2,20.5,0,1.7,15,,,squished
126,126,8/2/2014,p,1,60.2,1,3,27.6,31,20.9,0,4.9,15.8,,,
126,126,8/3/2014,p,1,23,1,1,28.2,33.3,22.6,0,4.5,16.1,,,
126,126,8/5/2014,p,1,30.4,1,1,25,28.3,20.1,0,5.9,14.2,,,squishef
126,126,8/31/2014,p,1,50,2,2,28.2,32.7,22.5,0,2.2,16.6,,,
127,127,3/4/2015,w,0,20.4,1,2,25,28.2,18.1,0,0,13.4,,,
128,128,8/15/2014,p,1,15,1,1,26.9,31.7,21.4,0,2.5,16.6,,,
128,128,8/24/2014,p,1,36.2,1,3,28.4,33.6,24,0,4.3,17.7,,,
128,128,9/3/2014,p,1,18.5,2,1,28.9,33.2,23,0,1.9,17.2,,,
128,128,9/4/2014,p,1,28.1,2,1,26.1,32.9,24.4,0,2.2,16.7,,,
128,128,9/5/2014,p,1,22.8,2,1,27.4,31.8,20.8,0,6.4,17.6,,,
128,128,9/6/2014,p,1,23.4,4,1,27.5,33,23.9,0,1.3,17.2,,,
128,128,9/10/2014,p,1,50.3,1,2,29.3,33.9,23.3,0,0,17.7,,,
128,128,9/14/2014,p,1,25.5,2,1,30.4,35.6,25.7,0,5.5,18,,,
130,130,8/5/2014,p,1,25.5,1,1,25.8,29.1,21.2,0,7.1,15.1,,,
130,130,8/19/2014,p,1,19.6,1,1,24.3,28.1,19.3,0,0,14.9,,,torn
130,130,9/1/2014,p,1,19,2,2,25.2,30.3,21.3,0,0.5,15,,,
130,130,9/3/2014,p,1,19.5,1,1,24.8,29.1,21.6,0,0,14.8,,,
130,130,9/12/2014,p,1,19.9,2,2,27.9,31.4,21.7,0,1.4,15.1,,,d throat?
130,130,9/17/2014,p,1,36.4,1,3,25.9,28,19,0,0,14.7,,,
130,130,9/18/2014,p,1,23.3,2,2,23.7,27.7,18.7,0,1.7,13.8,,,
131,131,9/28/2014,w,0,18,1,2,24.8,29.4,22.4,0.5,0,14.6,1,,
131,131,11/19/2014,w,0,13.5,2,2,24.7,27,19.2,1,,15.8,1,,pollen sfs? No seeds
131,131,11/25/2014,w,0,12.7,1,2,26.3,28.9,22.1,0.5,0,16,1,,
132,132,8/14/2014,p,1,18.1,1,1,26.4,31.5,23.4,0,0,15,,,
133,133,7/14/2014,p,1,16,1,2,24,,20,0,0.5,17,,1,
133,133,7/31/2014,p,1,25.1,1,2,26.7,30,,0.5,1.5,16.5,,,dark
133,133,11/16/2014,p,1,15.9,1,1,25.1,26.9,15.2,0,0.6,16.3,,,
133,133,11/17/2014,p,1,14.5,1,1,24.3,28.3,20.6,0,0,15.4,,,
133,133,11/24/2014,p,1,13.7,1,1,27.7,30.8,21.8,0,1.3,17.3,,,
134,134,9/2/2014,w,0,18.5,1,1,28.9,32.5,20.2,0.5,1.4,17.9,,,
134,134,11/23/2014,w,0,18,1,1,27,31.8,22.7,0.5,3.2,17.8,,,
134,134,11/25/2014,w,0,17.5,2,1,29.2,33.6,23.4,0,7.4,17.5,,,
134,134,11/28/2014,w,0,23.1,1,2,25.8,31.3,21.2,0,1.9,17.3,,,
135,135,11/19/2014,p,1,13.1,1,1,25.8,29.6,21.4,0,0,14.5,,,flower too small for seat
136,136,7/23/2014,w,0,24,1,1,26,30,19,0,0,17,,,slightly squished
136,136,10/15/2014,w,0,13.6,1,1,25.4,29.8,22.3,0,0,15.7,,,
136,136,10/29/2014,w,0,18.7,1,1,26.8,30.5,21.3,0,0,16.1,,,
137,137,9/4/2014,p,1,30.1,1,2,26.7,30.8,19.8,0,8.9,15.3,,,"p corolla, w throat"
137,137,9/6/2014,p,1,36.5,1,2,25.6,30.5,21.1,0,6.6,14.4,,,"p corolla, w throat"
137,137,9/17/2014,p,1,15,1,1,25.6,29.3,20.4,0,0,14.6,,,
137,137,9/18/2014,p,1,24.9,1,1,26.8,30.4,21.6,0,0,14.4,,,w.throat
137,137,9/19/2014,p,1,23,2,1,26.5,29.3,21.8,0,0,14.4,,,w throat
137,137,11/25/2014,p,1,15.4,5,2,26.9,30,20,0,4.6,15.5,,,
138,138,9/3/2014,w,0,21.7,1,2,29.2,34.4,23.2,0,3.5,17.5,,,
138,138,9/19/2014,w,0,19.6,2,1,29,32.8,24.2,0.5,0.9,17.5,,,
138,138,10/14/2014,w,0,20.5,1,1,32.2,36.8,22.3,0,4.4,16.6,,,
138,138,11/2/2014,w,0,13.6,1,1,26.8,30.4,19.7,0,1.5,15.7,,,
138,138,11/3/2014,w,0,16.3,1,1,28.7,30.9,16.4,0,0.7,16.1,,,
139,139,7/29/2014,p,1,26.9,1,1,28.4,31.7,20.7,0,0,16.4,,,
139,139,10/8/2014,p,1,22.7,1,1,26.3,31.1,22.2,0,0,15.2,,,
139,139,10/14/2014,p,1,34.9,1,2,29.3,34.4,24,0,3.6,16.5,,,
139,139,10/16/2014,p,1,18.1,1,1,28.1,31.9,21.8,0,2.1,15.9,,,
139,139,10/18/2014,p,1,18.8,1,2,27.9,30.4,20.7,0,0,15.7,,,
140,140,8/14/2014,p,1,20.8,1,2,26.6,30.8,23.8,0,1.2,16.7,,,
141,141,7/8/2014,p,1,12,1,1,21,,20,0,0.5,13,,,
141,141,7/9/2014,p,1,13,3,1,24,,20,0,0,15,,,
141,141,7/10/2014,p,1,12,2,1,23,,20,0,1.5,14,,,
141,141,10/14/2014,p,1,12.5,2,1,26.6,30.9,22,0,0,15.5,,,
141,141,11/3/2014,p,1,14.5,1,1,25.8,31.2,22.4,0,0.9,16.3,,,
141,141,11/7/2014,p,1,9.8,1,1,26.3,30.1,21.6,0,4.4,15.9,,,
141,141,11/18/2014,p,1,31.8,1,2,28.5,33.2,24.4,0,1.9,16.4,,,
141,141,11/25/2014,p,1,13.6,2,1,28.8,33.3,22.5,0,5.9,16.6,,,
142,142,7/21/2014,p,1,28,3,1,29,32,21,0,0,16,,,
142,142,7/31/2014,p,1,19.9,1,1,27.6,29.4,20.8,0,0,15.1,,,
143,143,11/25/2014,p,1,22.3,1,2,31.1,35.1,21.3,0,4.4,16.7,,,
144,144,8/3/2014,w,0,16,1,1,26.1,30.1,20.4,0,0,16.8,,,
144,144,10/14/2014,w,0,22.7,1,2,28.4,32.6,21.8,0,5.3,16,,,
144,144,10/15/2014,w,0,21.3,1,2,27.3,31.6,21.6,0,4.2,16.9,,,
144,144,10/17/2014,w,0,19.7,1,1,27.2,30.5,20.7,0,0,15.9,,,
144,144,10/18/2014,w,0,25.6,1,2,26,30.9,22.4,0,1.3,16.7,,,
145,145,8/13/2014,p,1,24.6,1,1,27.6,32.9,22.9,0,2.5,16.8,,,
145,145,2/4/2015,p,1,14.5,1,1,25.6,29.9,21.8,0,0.7,16.6,,,
146,146,7/9/2014,p,1,20,1,1,24,,21,0,4,15,,,
146,146,7/31/2014,p,1,35.4,1,2,26.7,31.1,20,0,1.3,15.9,,,
146,146,10/18/2014,p,1,23.5,1,1,28.2,32.6,23.9,0,2.6,15.1,,,
146,146,11/18/2014,p,1,14.4,1,1,24.8,26.5,16.4,0,0,14,,,
148,148,8/3/2014,p,1,17.7,1,1,30.2,34.8,24.7,0,2.5,18.3,,,
148,148,10/16/2014,p,1,18.5,1,2,27.8,34,26,0,10.3,17.1,,,
148,148,10/17/2014,p,1,16.1,1,1,23.9,29.1,22.6,0,0,15.7,,,
148,148,12/2/2014,p,1,14.2,1,1,28.5,33.2,25.5,0,1.9,17.1,,,
149,149,7/8/2014,p,1,15,1,1,21,,17,0,0,15,,,
149,149,7/24/2014,p,1,21,1,1,24,29,18,0,0,16,,,
149,149,10/20/2014,p,1,23,1,1,27.9,30.8,20.4,0,0.5,16.2,,,
149,149,11/16/2014,p,1,23.6,1,1,25.2,29,20.3,0,0,15.4,,,
150,150,7/21/2014,p,1,18,1,1,24,28,19,0,0,16,,,
150,150,7/26/2014,p,1,17.6,1,1,25.6,29.3,19.5,0,0,17,,,
150,150,10/6/2014,p,1,24.3,,1,27.6,31.4,23.5,0,2.8,16.6,,,
150,150,11/23/2014,p,1,14.3,1,1,26.4,31,21.9,0,7.2,17.2,,,
151,151,7/24/2014,p,1,24,1,1,23,27,16,0,2,16,,,dark
151,151,10/8/2014,p,1,15.5,1,1,27.6,31.5,21.8,0,0,17,,,
151,151,10/14/2014,p,1,21.3,1,1,27.1,32,22.5,0,3.6,16.2,,,
151,151,10/15/2014,p,1,22.6,1,2,31,32.5,19,0,0,17.1,,,
151,151,10/16/2014,p,1,19.9,1,3,27.2,31.1,21.8,0,1.7,17.4,,,
152,152,10/4/2014,w,0,15.8,1,1,26.2,30.8,20.8,0,0,15.8,,,
152,152,10/14/2014,w,0,28.8,1,2,28.2,32.3,23,0,3.2,16.5,,,
152,152,10/16/2014,w,0,22,1,2,27.2,31.9,22.6,0,3.7,16.3,,,
152,152,11/2/2014,w,0,23.2,1,2,27.4,30.9,20.6,0,4.3,15.7,,,
153,153,10/6/2014,p,1,23.6,1,1,28.5,32.7,23.4,0,1.1,15.4,,,
153,153,10/8/2014,p,1,24.2,1,1,28.4,33,24.8,0,2.1,16.5,,,
153,153,10/17/2014,p,1,20.6,1,1,28,32.5,22.6,0,0,15.8,,,
153,153,10/20/2014,p,1,22,1,1,28.3,32.2,20.7,0,0,16.5,,,
153,153,11/5/2014,p,1,29,1,1,28.7,32.7,23.7,0,6.5,16.5,,,
154,154,10/14/2014,p,1,13.9,2,1,27.6,30.4,16.8,0.5,0,16.3,1,,
154,154,10/15/2014,p,1,12.3,1,1,26.9,29,17.2,1,0,16.1,1,,
154,154,10/18/2014,p,1,11.3,1,1,26.4,29.1,19.7,0.5,0,15.6,1,,looks like sterile flowers
154,154,11/7/2014,p,1,11.2,1,1,24.8,29.2,19.3,1,0,15.6,1,,
154,154,11/14/2014,p,1,20.8,1,2,24.4,26.9,15.9,0.5,0,14.3,1,,
155,155,7/31/2014,p,1,49,1,2,27.4,32.8,23.7,0,8.3,14.8,,,
155,155,8/4/2014,p,1,52.4,1,2,25.9,30.2,21.7,0,4.5,14.5,,,
155,155,9/3/2014,p,1,23.8,1,1,26.9,32.7,23.6,-0.5,2.4,15.1,,,
155,155,10/15/2014,p,1,27.7,1,1,28.1,33.4,24.4,0,4.3,15.2,,,
155,155,10/18/2014,p,1,21.4,1,1,29.5,33.9,24.6,0,7.8,15.5,,,
156,156,10/14/2014,p,1,19.3,2,1,27.6,32.6,25,0,2.5,15.1,,,
156,156,10/29/2014,p,1,19.8,1,1,26.5,31,22.1,0,0,14.8,,,
156,156,11/14/2014,p,1,13.3,1,1,23.9,29.1,22,0,0,13.8,,,
156,156,11/16/2014,p,1,60.9,2,4,25.2,29.1,19.7,-0.5,0,,,,
156,156,11/25/2014,p,1,15.5,1,1,28.3,32.5,24.3,-0.5,3,15.4,,,
157,157,7/31/2014,p,1,21.3,2,1,25.4,28.4,19,0,1,15.4,,,dark
157,157,10/18/2014,p,1,16.2,1,1,26.9,30.1,19,0,0,17.3,,,
157,157,10/31/2014,p,1,18.5,1,1,26.4,31.3,24.6,0,0,16.4,,,
158,158,7/29/2014,p,1,15.2,1,2,26.7,30,20,0,0,16.3,,,
158,158,10/18/2014,p,1,23.8,2,2,26.9,31.5,20.9,0,0,17.2,,,
158,158,10/19/2014,p,1,20.2,1,1,25.8,29.9,19.7,0,0,16.6,,,
158,158,11/3/2014,p,1,16.4,1,1,28.1,31.9,20.9,0,1.9,16.7,,,
158,158,11/5/2014,p,1,14,1,1,26.2,30.2,19.2,0,0.9,15.8,,,
160,160,9/17/2014,p,1,28.9,1,2,26.4,29.6,19.4,0,0,16.3,,,
160,160,10/15/2014,p,1,18.5,2,1,28.1,33.2,22.7,0,7,17.3,,,
160,160,10/16/2014,p,1,17.2,1,1,28.5,33.1,22.2,0,0.9,18,,,
160,160,10/18/2014,p,1,21.3,1,1,28.3,31.1,20.1,0,0.8,17.4,,,
160,160,11/9/2014,p,1,14.4,2,1,25.7,29.3,18.1,0,0.9,15.9,,,
162,162,9/18/2014,w,0,19.6,1,1,26,30.2,21.6,0,0,15.6,,,
162,162,10/16/2014,w,0,25.2,1,2,29.4,33.4,23.3,0,1.4,17,,,
162,162,10/20/2014,w,0,46.4,1,3,27.5,31.1,22.1,0,0,16.5,,,
163,163,8/3/2014,p,1,23.9,1,2,26.2,30.6,21.7,0,5.7,16.4,,,
163,163,8/4/2014,p,1,12.5,1,1,25.3,28.5,21.7,0,1.3,15.5,,,
163,163,10/6/2014,p,1,19.8,1,1,26.8,31.5,23.2,0,6.6,15.8,,,
163,163,10/8/2014,p,1,19.8,1,2,26.6,30.2,20.7,0,4.4,15.5,,,
163,163,10/15/2014,p,1,18.3,2,1,28.2,32.3,23.8,0,0,16.5,,,
164,164,10/14/2014,w,0,44.2,1,4,29.4,33.4,23.1,0,0.9,16.8,,,
164,164,11/2/2014,w,0,11.6,1,2,30,33.2,21.6,0.5,0,17.5,,,possible sfs
164,164,11/5/2014,w,0,11.7,1,1,28.7,32.7,22.6,0,0,17.3,,,
164,164,11/17/2014,w,0,12.5,1,1,27.2,31.1,23.7,0,0,15.3,,,
164,164,11/24/2014,w,0,12.1,1,1,29.4,33.1,23,0.5,0,17.7,,,pollen sfs
164,164,12/4/2014,w,0,11.5,1,1,25.4,28.8,19.4,0,0,14.9,,,slightly malformed
165,165,9/7/2014,p,1,24.7,1,3,24.8,28.8,19.7,0,1.3,14.5,,,
165,165,9/27/2014,p,1,12.9,1,1,23.1,27.3,20.3,0,1.6,14.3,,,
165,165,10/8/2014,p,1,27.9,2,3,25.5,28,18.2,0,0,14.9,,,
165,165,10/15/2014,p,1,17.8,2,1,27.5,31.8,21.5,0,0.6,15.2,,,
165,165,10/16/2014,p,1,30.3,1,2,26,30.6,21.7,0,4.6,15.7,,,
166,166,7/17/2014,w,0,20,1,1,26,,20,0,1,16,,,
166,166,7/22/2014,w,0,32,1,2,28,32,18,0,1,17,,,
166,166,7/24/2014,w,0,19,1,1,26,30,14,0,0,15,,1,squished; threepronged stigma
166,166,7/28/2014,w,0,15.3,1,1,28.4,31.9,22.4,0,1,17.9,,,
166,166,9/2/2014,w,0,23.2,1,1,27.8,30.8,21.5,0,0,16.9,,,slightly squished
167,167,10/4/2014,w,0,30.3,1,3,28.2,30.7,20,0,0,14.3,1,,trlobed stigma; anthrrs bad?
167,167,10/8/2014,w,0,26.9,1,3,27.7,29,17.8,0,0,17,1,,crappy anthersband weirdly thick corolla loke 199 and 280
167,167,11/6/2014,w,0,12,1,1,24.7,28.4,19.7,0,0,14.8,1,,sad flower syndrome
172,172,7/10/2014,p,1,18,1,1,25,,20,0,1,13,,,
172,172,11/3/2014,p,1,16.6,1,1,25.1,28.3,18.4,0,1.7,14.7,,,
172,172,11/4/2014,p,1,19,1,2,25.7,28.7,18.7,0,0.3,13.8,,,
172,172,11/5/2014,p,1,24.2,1,2,25.8,30.3,20.5,0,0,14.8,,,
172,172,11/6/2014,p,1,16.2,2,1,25.5,28.8,19.4,0,0,13.6,,,
172,172,11/16/2014,p,1,19.3,1,2,25,27.8,18.1,0,0,13.8,,,
174,174,7/24/2014,w,0,24,1,1,24,31,21,0,1.5,15,,1,beatup flower
176,176,8/20/2014,p,1,13.1,1,1,29.2,32.9,20.7,0.5,0,18.3,,,
176,176,9/24/2014,p,1,17.3,1,1,27.4,32,23,0,2.6,17.8,,,
176,176,10/27/2014,p,1,75,1,3,27.8,31.5,22.3,0,2.2,17.5,,,
176,176,10/29/2014,p,1,22.7,2,1,27.9,33.2,22,0,0,17.9,,,
176,176,11/2/2014,p,1,39.8,1,2,27.7,30.7,20.9,0,4,17.6,,,
177,177,7/14/2014,p,1,11,1,1,27,,20,0,0,15,,1,
177,177,7/16/2014,p,1,16,2,1,28,,21,0,6,17,,,dark purple? Intensity locus?
177,177,7/20/2014,p,1,16,1,1,25,30,22,0,0,16,,,dark?
177,177,7/22/2014,p,1,20,1,1,25,30,21,0,0,16,,,
177,177,7/23/2014,p,1,54,2,4,27,32,21,0,1,17,,,
177,177,7/26/2014,p,1,57.2,3,4,20,23.2,16.4,0,0,12.9,,,dark purple
177,177,11/2/2014,p,1,16.2,1,1,28.3,31.9,23.2,0,1.5,17.1,,,
177,177,11/24/2014,p,1,15.6,1,1,29.5,33.2,21.6,0,5.3,17.8,,,
180,180,7/23/2014,w,0,18,1,1,29,35,23,0,1,18,,,
180,180,9/2/2014,w,0,21.3,1,1,25.8,28.3,21.6,0,3.7,16.8,,,
180,180,9/4/2014,w,0,21.1,2,1,27.4,32,23,0.5,1.4,17.7,,,
180,180,9/6/2014,w,0,22.6,1,1,27.6,32.6,23.1,0,1.6,17.9,,,
180,180,9/10/2014,w,0,36.1,1,2,28.2,33.7,24.3,0,2.6,18.2,,,
181,181,11/2/2014,p,1,17,1,1,24.9,29.2,31.3,0,0,13.7,,,
181,181,11/3/2014,p,1,16.1,1,1,26.2,31.1,20.9,0,0.5,15,,,
181,181,11/5/2014,p,1,15,1,1,26.1,30.6,20.9,0,0,14.6,,,
181,181,10/28/2014,p,1,24.1,1,1,25.5,28.5,19.7,0,0.6,14.2,,,
182,182,8/24/2014,p,1,10.1,1,1,24.2,28.1,20.1,0,1,14,,,
182,182,9/2/2014,p,1,20.2,1,1,25.6,31.6,23.5,0,3,14.8,,,
182,182,9/4/2014,p,1,17.8,1,1,25.6,31,21.9,0,2.9,15.1,,,
182,182,9/6/2014,p,1,20.3,1,1,25.1,30.7,23.1,0,6,14.9,,,
182,182,9/19/2014,p,1,14,2,1,25.2,28.9,21.2,0,2,15.1,,,
183,183,7/14/2014,p,1,16,2,1,24,,20,0,0,16,,1,
183,183,7/28/2014,p,1,23.2,1,2,26.1,29.3,18.5,0,0,15.4,,,
183,183,7/29/2014,p,1,27.2,1,1,27.8,30.7,19.1,0.5,0,16.6,,,
183,183,8/3/2014,p,1,,1,1,28.6,32.9,21.5,0,2.5,17.6,,,
183,183,8/4/2014,p,1,29.8,1,2,27.9,32.7,22.7,0,1.6,17.2,,,
184,184,8/16/2014,p,1,16.8,3,1,25.6,28.9,18.6,0,1.7,13.7,,,
184,184,10/15/2014,p,1,20,1,1,28.6,31.6,20.2,0,2.8,14.8,,,
184,184,10/18/2014,p,1,15.7,1,1,25.5,29.4,21.5,0,1.3,14.6,,,
184,184,11/6/2014,p,1,13.3,3,1,24.5,28.5,18.8,0,1.6,14.2,,,
184,184,10/28/2014,p,1,14.7,1,1,23.6,28,18.9,0,0,13.2,,,
185,185,8/15/2014,w,0,16.5,1,1,23.1,26,16.8,0,0,14.5,,,
185,185,8/16/2014,w,0,28.6,1,1,25.4,28.9,19.4,0,0,14.7,,,
185,185,10/15/2014,w,0,20.6,1,1,29.5,33.5,21.1,0,3.3,16.6,,,
185,185,11/4/2014,w,0,24.9,1,1,25.5,28.9,20,0,0,15.9,,,
186,186,7/21/2014,w,0,17,1,1,27,31,18,0,0,16,,,starry
186,186,7/23/2014,w,0,15,1,1,26,31,21,0,0.5,15,,,
186,186,8/26/2014,w,0,30.4,2,3,27.7,31.9,22.6,0,3.3,16.2,,,
186,186,8/27/2014,w,0,14.6,2,1,26.8,30.2,19.2,0,0,14.3,,,
186,186,8/29/2014,w,0,16.2,1,1,25.1,28.3,18.2,0,1.2,16.1,,,
186,186,9/1/2014,w,0,35.3,2,3,26.5,32.2,24.5,0,3,17.9,,,
188,188,8/4/2014,p,1,26.8,1,3,25,26.3,18.4,0,0,,,,
188,188,9/10/2014,p,1,14.7,1,1,23.6,26.2,16.9,0,0.9,14.6,,,
188,188,9/17/2014,p,1,10.7,1,2,23.7,25.9,14.1,0,0,15.1,,,
188,188,10/8/2014,p,1,25.5,1,2,25.8,29.5,21.5,0,0.8,14.3,,,
188,188,10/15/2014,p,1,37.3,2,3,27.8,31.4,20.6,0,3.7,16,,,
189,189,8/14/2014,p,1,55.1,1,3,27.1,31.5,20.1,0,1,17.5,,,
189,189,8/15/2014,p,1,53.7,3,5,27.9,31,21.1,0.5,2.3,14.8,,,
189,189,8/21/2014,p,1,23.7,1,1,26.6,29.7,20.5,0,0,15.5,,,
189,189,8/23/2014,p,1,21.2,1,1,25.7,28.3,21.6,0,0,15.2,,,
189,189,8/26/2014,p,1,23.4,3,1,28.7,32.1,24.5,0,0.5,16.6,,,
189,189,9/1/2014,p,1,45.6,1,3,25.8,30.9,22.4,0,1.4,16.5,,,
189,189,9/5/2014,p,1,16.8,3,1,26,29.3,20.5,0,0,15.6,,,
189,189,9/10/2014,p,1,25.5,5,2,27.6,31.8,24.3,0,4.2,16.2,,,
191,191,11/19/2014,p,1,14.4,1,1,25.1,29.8,21.3,0,0,14.9,,,
192,192,8/16/2014,p,1,25.7,1,2,26,29.9,20.1,0,4.5,14.6,,,
192,192,8/18/2014,p,1,24.8,1,2,26.5,31.5,23.3,0,3.5,15.1,,,
